,text
247,pfizer keep good work 
248,health warned people allergic ingredient vaccine 
249,pucking intend get vaccinated wht employer force get vaccinated like arogya set 
250,okmight late discovering vaccine led 
251,hour authorized dos packaged 
252,advisor tapped review received payment vaccine company pray th 
253,breaking911 whatdumass anything vaccine bet w 
254,state start getting covid 19 vaccine monday 
255,corona pfizer vaccine approved use u emergency basis 
256,ups fedex collaborate ship pfizer biontech covid 19 vaccine u 
257,u president donald trump announced vaccine free american thanked scienti 
258,buy pharmaceutical firm 39 billion 
259,health warned people allergic ingredient vaccine 
260,buy pharmaceutical firm 39 billion 
261,pmjones14 created vaccine trump recommended bleach injection 
262,u public start receiving pfizer biontech coronavirus vaccine monday authorised 
263,u public start receiving pfizer biontech coronavirus vaccine monday authorised 
264,pfizer biontech covid 19 vaccine side effect canada warns allergic people pfizer biontech coronavirus vac 
265,4evernevertrump tedcruz hatched canada 2 vaccine developed germany 3 scie 
266,tedcruz hatched canada 2 vaccine developed germany 3 scientist behind 
267,tedcruz stoolpresidente hatched canada 2 vaccine developed germany 3 scie 
268,dos vaccine begin leaving companyfactory sunday th 
269,covid 19 vaccine update initial dos pfizer coronavirus vaccine u begin tomorrow 
270,salute risking life everyday taking care patient may god give th 
271,wsj proving unproven time constraint always hard great achievement pfizer pfizer 
272,canadian guidance people allergy since still evolv 
273,100 transparent 
274,wrong malaysia already pre ordered expected 2021 plus part 
275,love high quality infographics getting across multiple idea quickly excellent set fact 
276,prepped shipment wall street journal 
277,learn victory overgood refresher polio came end letnot forget 
278,big pharma best interest hold stock amp patient 
279,tv ad 2030 receive cv19 vaccine 2020 2021 entitled financial compensation 
280,sflecce thank cpho_canada pattyhajdu justintrudeau anitaoakville getting approved prepared 
281,ordered enough people 
282,whatin 100 transparent 
283,entire ingredient see itjust like withsplash ofto fi 
284,socan stop wearingweeks 2nd vaccine curious use test afterget vac 
285,pash22 caseymross guidance clear person withhistory anaphylaxis tovaccine medicine 
286,reason donhave polio vaccinated virus please letembrace covid vac 
287,say covid 19 vaccine 
288,janey94803852 maureenprsb still seems unclear reconstitute vial site nursing home 
289,fda approves pfizercov 
290,u shipment start rolling sunday via medscape 
291,give guidance allergy pregnancy concern vaccine via medscape 
292,announcement come federal authority granted pfizer vaccine emergency use authorization read 
293,federal aviation administration faa said saturday approved use 
294,u agency authorizes pfizer biontech covid 19 vaccine first vaccine administered 
295,new podcast vaccinating way pandemic larrybrilliant peterhotez amp raysuareznews discus 
296,eric shawn vaccine record time thanks ericshawntv arthelneville al 
297,tedcruz fact senator would nice respect faith tell truth vaccine dev 
298,federal aviation administration faa said saturday approved use 
299,whatin vaccine 100 transparent 
300,coming vaccine soon excited 
301,beyond relieved share thatll among first receive thank 
302,dyk amp among first nation approve 
303,russian vaccine created last 2 4 year 
304,fascinating see messenger rna vaccine delivery approach helped enabledramatically short time 
305,realdonaldtrump vaccine discovered developed europe turkish german husband wife 
306,tiffany dover alive chi_memorial 
307,ita black woman giving alright 
308,thatindeedsight relief health minister tfrabiah showcasedsample vacci 
309,manchesterhcc dr_pwright gmscnews gm_hsc gmec_scn doctormkumar mancitycouncil andyburnhamgm important day f 
310,interesting see post vaccine birth rate next winter 
311,covid vaccinated sccm hmethodistmd covid19docs pfizer 
312,singapore volunteer amp 16 immune suppressant taker amp pregnant portal booklet kn 
313,moderna vaccine need extra special handling requirement one pfizer includin 
314,mandated anthrax vaccine killed 35k u soldier maimed many 2 serious adverse reaction 
315,mrna vaccine teach cell makeprotein trigger immune response without using live vi 
316,vaccine special trigger immune response without using actual virus cause covid 19 
317,healthcare worker receive first dosis pfizer biontech covid 19 vaccine memorial healthcare system mir 
318,supplier fosun pharma making initial payment 125 mil year end 50 million dos 
319,vaccine rolled week several country bringing hope scepticism 
320,excited received first part today impressive resource mobilization 
321,1 000 jackson employee successfully received first dose vacci 
322,something interestinglearned interview b_kazaz today therebeenlot chatter 
323,oklahoma ishistoric day govstitt hannah whiteregistered integri 
324,waiting age group get injected canada whichexpect would happen next year letbe patie 
325,turkeydeath toll covid 19 rise 16 881 drfahrettinkoca 
326,getting vaccinated 
327,effect interact withpersondna dna located nucleus 
328,may come risk thank pfizer pfizercongress 
329,pressuring license vaccine christmas 
330,real cool 
331,anyone notice vaccination nh picture taken video actual vaccination becau 
332,government prepping million dos coronavirus shipment site 
333,differ answer question 
334,mjmoore77 yvettedoc50 j_bagpuss ellzsummary fentonaw oldburysally docsandip drneenajha drpeterweeks1 
335,jackson north medical center getting vaccine today 
336,talking human life letnot repeat mistake past jeopardized many life 
337,thrilled receive first dose covid vaccine today vulnerable peoplevisit support work 
338,know wearingmask around others staying least 6 foot away avoiding crowd washing hand pr 
339,pharmacist essential easing patient concern safety covid 19 vaccine pfizer bion 
340,happenedgot first dose vaccine today best holiday present ever al 
341,turkeydeath toll covid 19 rise 16 881 drfahrettinkoca 
342,first give 
343,pleased get vaccine important many people possi 
344,first dose covid vaccine today still wear ppe still socially distant least 
345,9 course people want make sure take clinical trial data available f 
346,staff applause vaccine rolled towards fridge dhrhealth krgv pfizer 
347,md dr susannah thompson pulling stop leadingmagnificent team nh staff amp volunteer tonight 
348,utswnews starting covid vaccination program today socially distanced staff patiently waiting 
349,ijust honored one first getting vaccinated protect protect loved one gettin 
350,proud whole team today bhrut_nhs officially started vaccinating everyone worked extremely 
351,first vaccine shot u watch video 
352,hey pfizer respect say someone get vaccinated build antibody donate 
353,despite dire shortage foreign exchange government expects sign 18 million deal suppl 
354,containlive virus vaccine cause covid19 disease even possible 
355,senategop anesthesia surgery 19days apart wonbe introduced b 
356,really good thead mayoclinic epidemiologist 
357,watch live jacksonhealth system news conference receiving first shipment covid 19 v 
358,umcsn hospital ceo van houweling saysumc nurse 1st person vaccinated 
359,4th person get muschealth id_muscfeel 
360,hav genuine mancitycouncil place deliverin 
361,year 2022will also proudly postpicture wheneventually receive covid vaccine 
362,little vial carry much scientist worked tirelessly get 
363,wvu medicine received shipment vaccine amp begun 
364,ingredient pfizercovid 19 vaccine mit technology review 
365,todaywas lucky enough get vaccinated againstdid patient 
366,incredibly grateful received osuwexmed thanks everyone 
367,save best last 
368,canada receiving 200 000 dos vaccine next week amp potentially 168 
369,cdcgov stick poison vaccine as 
370,grossly unfair absolutely inevitable first dibs vaccine rich country cleared shelf 
371,repnewhouse affiliated silly star trek program 
372,progress last meeting emanews december 21st instead december 29th 
373,brookearmymed cov id identification chip similar one put dog certificate validation identi 
374,heard indiatodaydonthinkcan allow parent family take vac 
375,juice loose received 1st dose pfizer biontech vaccine today proud bemedical worker th 
376,heard two source two part country arrival covid vaccine delayed 
377,feeling emotional grateful lucky one first people worcestershire receive vaccine 
378,jackmaxey1 realsamfaddis cov id identification chip similar one put dog certificate valid 
379,majorpatriot cov id identification chip similar one put dog certificate validation identif 
380,drtedros bts_twt cov id identification chip similar one put dog certificate validation id 
381,justintrudeau cov id identification chip similar one put dog certificate validation identi 
382,3 million dos covid set reach facility across u monday 
383,skynews borisjohnson need least talking needed asap already seeingr 
384,vaccination begin muschealth abcnews4 
385,infographic declared possibility seven side effect vaccine read 
386,excited muschealth rolling today amazing work 
387,made process smooth easy step waywas able communicate st 
388,academic pharmacist critical easing covid 19 vaccine concern oksanapyzikucl 
389,senatemajldr thanks genius immigrant trump amp gop despise 
390,geoffreyknapper rosiebarton understand concept live tweetingupdate press 
391,another vaccine coming us_fda released report live noon kiro7seattlethe first va 
392,new strain 
393,staff member north memorial hospital react dos pfizer biontech vaccine delivered ro 
394,assume post test po neglive virus amp vax tbd 
395,providedshort summary pfizer biontech publication new england journal medicine vacc 
396,20 1 return investment yet removed liability drug manufacturer 
397,eu hope christmas regulator move forward assessment jab 21 decem 
398,mygp launch englandfirst digital covid 19 vaccination verification feature smartphones 
399,systemic reported within 7 day injection dose 2 data 
400,covid 19 new york nurse get first shot coronavirus vaccine 
401,polish healthcare worker uk become first polish person given vaccine covid 19 
402,delighted betaxi driver today take gentleman early 90to gpfor covid vaccination part 1 
403,eumedicines regulator tuesday dramatically advanced decision day 
404,ottawa county calhoun county already preparing administer entire first shipment includes 97 
405,maga_trump2020 roguesquadkat realdonaldtrump vision immigrant kind hate 
406,getting ready go bbcworld dosegment discus myth 
407,due signcontract week shipment vaccine obta 
408,ready go joined fordnation launch clinic uhn incredible 
409,time dance lt 3 
410,human medicine committee expert scheduled 21 december conclude possible 
411,meeting review possibly approving biontech pfizer vaccine use europe bumped dec 
412,drtonyleachon ralphrecto government insisting fact le efficacy safety wors 
413,video elderly patient isle become first vaccinated 
414,wonder hell member meet christmas must wait 29 dec sur 
415,ummmm isnlorettohospital 1st receive covid 19 vaccine black latino community 
416,praising responsible whoever letall give credit credi 
417,bravo anita dedication hard work taking care senior 
418,dry ice poured intobox containing vaccine prepared shipped th 
419,vaccine anyone taking coz bro asked didnliked answer 
420,one one go excellent vaccination service worcsacutenhs thank 
421,vaccinated 
422,celebrity cook bakeoff presenter prueleith getting new vaccine west oxfordshire today 
423,ita great day science 
424,ani new similar cannormal cold chain suffice look like 
425,interim clinical consideration use pfizer biontech covid 19 vaccine 
426,guide safely get pfizer biontech covid 19 vaccine 
427,optionpaul vaccine toxic unsafe pmonair 
428,first covid 19 vaccination new york lev radin 
429,vial contains 5 dos caughtglimpse one viallabel 
430,become third nation world administer vaccine starting 
431,iran refused receive vaccine know fa 
432,padsbigsis grandpcn drmandipthiara jim_reed thanks becky indeed learning together rich_pratt ou 
433,13 gp practice among first get jab start rolled ou 
434,gps region start administering coronavirus vaccine today 
435,realdonaldtrump presssec bekindhavehope congratulation german migrant scientist 
436,pash22 pfizer enirenberg sharing pash22 extensive analysis vaccine safety profile b 
437,sharing pash22 extensive analysis vaccine safety profile bottom line safe eg 
438,majority gps england start delivering coronavirus local commun 
439,began vaccination drive dos monda 
440,wasnjennifer haller first person usa given trial vaccine given time person year 
441,1st country make sing ismannworld 
442,takebreath celebrate happened today democracy constitution gave u hope 
443,first dose covid 19 vaccine given toblack nurse new york via youtube 
444,bhakts around world also boycott developed zoo_bear 
445,first dos coronavirus vaccine administered canada following u uk 
446,critical care nurse long island jewish medical center received 
447,victory day science u canada start mass covid 19 vaccination drive 
448,wonderer whether covid vaccine producer inc chinese one also getting full indemnity governme 
449,scheduled today 
450,fact 43 000 participated trial fda approved emergen 
451,update need know 
452,clearly may beginning end sense nevertheless end pande 
453,new york u monday inoculated first healthcare worker vaccine youtube 
454,monday raymond pla anesthesiologist one five front line worker george university ho 
455,photo pinned everyoneinformation government pushing get sinovac way 
456,among first line cbc ctv 
457,vaccine arrived mum isolation 10 day 18 resident sick 2 passed away 
458,ingredient 
459,two mrna based vaccine received us_fda cdcgov approval vac 
460,metamorf_us datanami model predict number life saved vaccine end year 
461,correction anita quidangen toronto 1st person get vaccine 
462,isure nobody would object pfizer ceo getting take vaccine firstwould prefer take 1 
463,ready tomorrow starting m quidangen first canadian receive uhn ready 
464,liberal_party liability untested 
465,offguardian0 reading phase iii detail whathave concluded immunize death 
466,reading phase iii detail whathave concluded immunize death certificate 
467,last big applewill saved 1st vaccination in given new york hard hit outbreakfi 
468,abcworldnews abc islot unknown vaccine impact model saying based 
469,abcworldnews abc please share late case death projection due usingforecast model acc 
470,fordnation thereno light end tunnel wish vaccine lu 
471,delighted packed dry ice heading around world though make 
472,drannemurphy unlike giving mrna vaccine pregnant woman drsdeg pretlovesam amp also allerg 
473,foxnews marthamaccallum nothing 
474,1st vaccine canada administered personal support worker anita q 
475,iranian using hashtag mean buy vaccine itone sad hashtags ever 
476,month fighting covid icuam grateful always ppe keep covid free relief getti 
477,getting island today first day giving vaccine front liner 
478,san bernardino county arrowheadrmc began administering first dos vaccine 
479,health worker alaska severe reaction pfizer vaccine 
480,pvd post vaccine day 2 side effect 
481,little 24after andm lucky sayhave symptom unless extra ene 
482,realdonaldtrump take credit chinese providing genetic sequencing rejecting f 
483,today aimed high broke record jackson administered 1 278 vaccination bringing 
484,lot rumor going around affect woman childbearing age 
485,herethe fact sheet recipient vaccine case line one w 
486,therea light end tunnel proud incredible teamwork went making possible 
487,snow storm 
488,health worker sufferedserious reaction getting 
489,dr siegel historic day science battle covid 19 fox news video americanewsroom 
490,calling health care professional offered one extra dos vaccine tha 
491,yesgot vaccine tonight nom flexing grateful receive 
492,calling health care professional offered one extra dos vaccine th 
493,icu nurse sonya harrell receives first dose san bernardino county 
494,dondo effin 
495,young brother salikaleemmdfrontline icu fellow carilionclinic getting first shot 
496,desuetudine nytimesknew lot licking going treasury bingham accused wasting bi 
497,24 new death province report 640 new case 9 950 active case new type measu 
498,pfizerexperimental covid 19 vaccine told ever desperat 
499,washonor today speak importance rollout 
500,hope humanity important science nationality race ethnicity religion 
501,roll sleeve get shot turn together end 
502,feel like today 
503,cdcpre screening form vaccine 
504,interesting explainam 59 year oldam good healtham first line type 
505,quite impressed whenheard 1st number early today bit simple math mean wide pictur 
506,40 percent increase existing pfizer biontech_group vaccine supply vial already provided contain 
507,waking day getting vaccine 
508,pfizer vaccine ingredient article looking potential allergen mrna lipid salt 
509,determine itstill safe effective storage temperature dipped 80 c 
510,getting vaccine itavailable locality 
511,got covid vaccine today amazing happy able get feel like world finally turn 
512,notgood start hope recovers full health one concern ofrushed vaccine 
513,ger_osce osce ifshhamburg thegcsp sokovnikolai thanks e 
514,vaccinated painless injection andm currently cruising social medium 15 minute observation period 
515,second shipment arrives second shipment pf via 
516,healthcare worker anaphylactic reaction amp hospitalized icu receiving 
517,show highlight fda say vaccine might give bellpalsy 
518,kensingtonroyal havenfound hiv amp thought might find 
519,covid 19 vaccine whatin work 
520,joelrwrites avonandsomerrob say panicse 
521,comprised ingredient standard many vaccine including mrna lip 
522,first case allergic reaction pfizer vaccine expected 
523,celebration biontech_groupugur sahin ozlem tureci ftpeople year 2020 
524,know even former 
525,germany start corona vaccination 27 december vaccine authorised already christmas 
526,imagine pizzeria liable damage gotpie poisoned damaging 
527,1 2m additional dos distributed nex 
528,avonandsomerrob appreciated immense undithering 
529,need worry chicken nugget freezer vaccine 
530,manages batch pfizer moderna vaccine poor country click see 
531,alaska healthcare worker history drug allergy suffered serious anaphylactic like reaction gett 
532,nythealth devisridhar nytimes talented people developing country forcefully stopped barred fo 
533,ft people year biontechugur sahin ozlem tureci via financialtimes 
534,alaskan healthcare worker suffers severe allergic reaction covid 19 vaccine 
535,10downingstreet cmo_england awaits first mo 
536,breaking provokes serious allergic reaction 
537,according new york time authority alert new allergic reaction 
538,test subject suffer headache fever among thing united state million 
539,provokes serious allergic reaction 
540,pharmaceutical company previously reported vaccine contain egg new case america h 
541,since restored suffered allergy past including egg allergy 
542,care worker admitted hospital still according newspaper allergic reactio 
543,according new york time based three anonymous source health care professional history 
544,severe allergic reaction receiving corona vacin washington u state alaskahealth care w 
545,joebiden 
546,jut took 
547,dr marc siegel vaccine arriving hospital science battling back 
548,florida gov look vera leip 88 receivesvaccine john knox 
549,unsure recent approval infographic help 
550,someone say first amp maybe say 
551,taken world know amp 2020 full many read help separat 
552,churchscotland every generation ittests would thought life know turne 
553,thread started curiosity aswanted see 1st 
554,want dos 
555,churchscotland touching amp inspiring forward 2020 covid19 iam proud british africa amp know th 
556,marty carpenter jr hiv program manager gnrhealth department one 1st receive covid 19 
557,got covid vaccine u sit 15 minute afterwards make sure okay farfeel fine 
558,got vaccine hereto fighting pandemic 
559,bg_ltu_efp natojfcbs landmacht tank big gun couldndo stop 
560,fredwalton216 true news got first vaccine dose waiting 15 minute beforecan 
561,conhome borisjohnsonthink amp uk scienti 
562,wise get vaccine risk complication ofnew type vaccine wise wait 
563,unbelievably happening indeed people clear amp confirmed serious adverse reaction grade 
564,asidigo ummmwill waiting like forever mine cure stupid 
565,allergic reaction occurred tuesday person hospitalized 
566,pharmdrogers87 mhshospital natural selection injection rid world 
567,judiciarygop repmattgaetz certificate validation identification covid cov id identificati 
568,inform talk doctor get vaccine 
569,1 donfear needle likedid honored receive protect loved one friend 
570,good news 137 000 vaccinated first week uk 
571,today noonreceived first dose pfizer covid 19 vaccine super excitingwill createthread h 
572,post vaccine 
